ask,verb
be,verb
beat,verb
blow,verb
do,verb
do,verb
dream,verb
drive,verb
eat,verb
go,verb
let,verb
lie,verb
light,verb
live,verb
love,verb
mean,verb
run,verb
say,verb
see,verb
shine,verb
show,verb
sing,verb
sit,verb
sleep,verb
smell,verb
spring,verb
sweat,verb
swim,verb
use,verb
wind,verb
ache,verb
boil,verb
chant,verb
could,verb
cry,verb
did,verb
drool,verb
drunk,verb
elaborate,verb
fast,verb
fiddle,verb
has,verb
have,verb
have,verb
heave,verb
lick,verb
mad,verb
moan,verb
must,verb
pound,verb
put,verb
recall,verb
rip,verb
rust,verb
said,verb
scream,verb
shot,verb
smear,verb
spray,verb
whisper,verb
peach,verb
still,verb
urge,verb
want,verb
were,verb
worship,verb
are,verb
is,verb
is,verb
is,verb
is,verb
is,verb
trudge,verb
was,verb
are ,verb
&,conjunction
&,conjunction
a,determiner
a,determiner
a,determiner
a,determiner
a,determiner
a,determiner
am,verb
am,verb
ed,suffix
ed,suffix
ed,suffix
ed,suffix
er,suffix
es,suffix
est,suffix
gir,suffix
ing,suffix
ing,suffix
ing,suffix
ing,suffix
ing,suffix
ing,suffix
ly,suffix
ly,suffix
ly,suffix
ly,suffix
s,suffix
s,suffix
s,suffix
s,suffix
s,suffix
s,suffix
y,suffix
y,suffix
y,suffix
y,suffix
his,pronouns
his,pronouns
one,pronoun
all,pronoun
what,pronoun
who,pronoun
the,pronoun
the,pronoun
the,pronoun
the,pronoun
the,pronoun
these,pronoun
they,pronoun
we,pronoun
we,pronoun
those,pronoun
us,pronoun
you,pronoun
you,pronoun
you,pronoun
you,pronoun
he,pronoun
he,pronoun
her,pronoun
her,pronoun
him,pronoun
I,pronoun
I,pronoun
I,pronoun
I,pronoun
it,pronoun
it,pronoun
it,pronoun
me,pronoun
me,pronoun
me,pronoun
my,pronoun
my,pronoun
my,pronoun
our,pronoun
their,pronoun
about,preposition
above,preposition
after,preposition
as,preposition
as,preposition
as,preposition
as,preposition
at,preposition
at,preposition
at,preposition
beneath,preposition
but,preposition
but,preposition
but,preposition
but,preposition
by,preposition
by,preposition
for,preposition
from,preposition
from,preposition
in,preposition
in,preposition
in,preposition
less,preposition
like,preposition
like,preposition
like,preposition
of,preposition
of,preposition
of,preposition
of,preposition
on,preposition
on,preposition
over,preposition
through,preposition
to,preposition
to,preposition
to,preposition
up,preposition
with,preposition
with,preposition
away,preposition
thousand,number
no,noun
life,noun
petal,noun
sausage,noun
shadow,noun
storm,noun
symphony,noun
there,noun
TV,noun
will,noun
apparatus,noun
arm,noun
bed,noun
blood,noun
boy,noun
can,noun
crush,noun
day,noun
death,noun
dress,noun
egg,noun
feet,noun
finger,noun
friend,noun
garden,noun
hair,noun
head,noun
honey,noun
hot,noun
juice,noun
lake,noun
language,noun
man,noun
meat,noun
men,noun
milk,noun
mist,noun
moon,noun
mother,noun
music,noun
need,noun
picture,noun
play,noun
rain,noun
rock,noun
rose,noun
sea,noun
ship,noun
skin,noun
sky,noun
stop,noun
suit,noun
summer,noun
sun,noun
time,noun
tongue,noun
watch,noun
water,noun
wax,noun
woman,noun
ad,noun
beauty,noun
breast,noun
butt,noun
chocolate,noun
diamond,noun
forest,noun
goddess,noun
gown,noun
here,noun
lather,noun
lust,noun
pant,noun
pole,noun
puppy,noun
she,noun
she,noun
an,determiner
an,determiner
if,conjunction
when,conjunction
yet,conjunction
or,conjunction
so,conjunction
and,conjunction
and,conjunction
and,conjunction
and,conjunction
how,adverb
no,adverb
please,adverb
why,adverb
never,adverb
not,adverb
not,adverb
sweet,adjective
languid,adjective
together,adjective
bare,adjective
fluff,adjective
some,adjective
though,adjective
bitter,adjective
black,adjective
blue,adjective
delirious,adjective
lazy,adjective
red,adjective
smooth,adjective
tiny,adjective
cool,adjective
enormous,adjective
frantic,adjective
gorgeous,adjective
luscious,adjective
pink,adjective
purple,adjective
raw,adjective
repulsive,adjective
sad ,adjective
soar,adjective
sordid,adjective
ugly,adjective
r,suffix
r,suffix
d,suffix
